"","species","weight"
"1317","disp",160
"1318","pgfv",8
"1319","dime",36
"1320","disp",140
"1321","onar",16
"1322","dime",35
"1323","dime",38
"1324","dime",43
"1325","remn",12
"1326","dime",45
"1327","pmer",20
"1328","dime",42
"1329","onar",17
"1330","disp",128
"1331","dime",47
"1332","dime",42
"1333","dime",39
"1334","disp",130
"1335","dime",37
"1336","pgfv",7
"1337","pmer",20
"1338","onar",16
"1339","dime",35
"1340","dime",39
"1341","onar",18
"1342","dime",42
"1343","onar",16
"1344","dime",41
"1345","pgfv",7
"1346","dime",37
"1347","pmer",14
"1348","pmle",20
"1349","dime",39
"1350","disp",116
"1351","disp",114
"1352","onar",21
"1353","dime",43
"1354","dime",37
"1355","remg",12
"1356","dime",35
"1357","dime",37
"1358","disp",110
"1359","pgfv",7
"1360","onar",18
"1361","dime",41
"1362","dime",37
"1363","dime",37
"1364","neal",132
"1365","remg",12
"1366","dime",41
"1367","onar",17
"1368","neal",204
"1369","dime",41
"1370","remg",12
"1371","dime",37
"1372","dime",35
"1373","dime",39
"1374","dime",36
"1375","onar",26
"1376","pgfv",6
"1377","disp",112
"1378","dime",41
"1379","disp",112
"1380","dime",42
"1381","dime",41
"1382","dime",46
"1383","disp",112
"1384","dime",41
"1385","disp",136
"1386","dime",44
"1387","dime",46
"1388","dime",37
"1389","dime",43
"1390","disp",134
"1391","nemi",214
"1392","dime",44
"1393","disp",144
"1394","dime",39
"1395","dime",39
"1396","disp",125
"1397","nemi",100
"1398","onar",23
"1399","dime",41
"1400","nemi",112
"1401","dime",43
"1402","dime",49
"1403","dime",45
"1404","dime",53
"1405","dime",38
"1406","dime",39
"1407","disp",150
"1408","disp",125
"1409","dime",50
"1410","dime",48
"1411","dime",48
"1412","dime",29
"1413","dime",38
"1414","dime",42
"1415","dime",31
"1416","disp",158
"1417","disp",134
"1418","dime",48
"1419","dime",50
"1420","disp",113
"1421","disp",118
"1422","dime",44
"1423","dime",27
"1424","disp",140
"1425","dime",48
"1426","disp",162
"1427","dime",48
"1428","dime",53
"1429","dime",34
"1430","pmtr",28
"1431","dime",28
"1432","dime",27
"1433","pgfv",7
"1434","pmtr",29
"1435","neal",130
"1436","neal",182
"1437","disp",122
"1438","dime",51
"1439","disp",108
"1440","nemi",120
"1441","disp",155
"1442","nemi",138
"1443","disp",133
"1444","disp",130
"1445","dime",42
"1446","dime",39
"1447","dime",42
"1448","dime",34
"1449","dime",50
"1450","dime",45
"1451","dime",45
"1452","dime",40
"1453","dime",45
"1454","dime",50
"1455","dime",36
"1456","dime",41
"1457","dime",37
"1458","dime",38
"1459","dime",36
"1460","dime",34
"1461","disp",156
"1462","dime",50
"1463","dime",45
"1464","dime",35
"1465","dime",41
"1466","dime",52
"1467","onar",19
"1468","dime",48
"1469","dime",39
"1470","dime",51
"1471","disp",105
"1472","dime",42
"1473","dime",49
"1474","dime",44
"1475","dime",33
"1476","disp",95
"1477","onar",21
"1478","dime",45
"1479","onar",24
"1480","pgfv",8
"1481","dime",44
"1482","onar",14
"1483","dime",44
"1484","dime",44
"1485","dime",42
"1486","dime",30
"1487","dime",42
"1488","pgfv",7
"1489","dime",40
"1490","dime",42
"1491","dime",43
"1492","dime",34
"1493","onar",16
"1494","dime",39
"1495","dime",51
"1496","dime",47
"1497","pgfv",6
"1498","dime",37
"1499","pgfv",8
"1500","pgfv",6
"1501","pgfv",6
"1502","pgfv",6
"1503","pgfv",7
"1504","pgfv",7
"1505","dime",41
"1506","pgfv",7
"1507","dime",43
"1508","pgfv",7
"1509","dime",46
"1510","pgfv",8
"1511","dime",40
"1512","pgfv",6
"1513","dime",39
"1514","dime",29
"1515","dime",41
"1516","dime",49
"1517","dime",40
"1518","pgfv",7
"1519","onar",23
"1520","pgfv",9
"1521","dime",55
"1522","dime",40
"1523","pgfv",7
"1524","pgfv",7
"1525","dime",44
"1526","dime",40
"1527","pgfv",5
"1528","onar",14
"1529","onar",22
"1530","dime",42
"1531","pgfv",7
"1532","pgfv",7
"1533","dime",42
"1534","dime",30
"1535","dime",55
"1536","pgfv",8
"1537","pgfv",8
"1538","onar",19
"1539","pgfv",7
"1540","pgfv",6
"1541","dime",44
"1542","pgfv",7
"1543","neal",90
"1544","pgfv",8
"1545","neal",104
"1546","pmer",35
"1547","pgfv",9
"1548","pgfv",6
"1549","neal",88
"1550","onar",21
"1551","dime",45
"1552","nemi",128
"1553","disp",140
"1554","dime",38
"1555","pgfv",8
"1556","pgfv",8
"1557","pgfv",6
"1558","pgfv",7
"1559","nemi",110
"1560","dime",40
"1561","dime",30
"1562","dime",50
"1563","pgfv",9
"1564","pgfv",7
"1565","pgfv",7
"1566","pgfv",7
"1567","pgfv",5
"1568","pgfv",7
"1569","pgfv",7
"1570","pgfv",9
"1571","dime",15
